keys,en
# Title Screen / Main Menu
title_game_name,"ISOBRÍO"
menu_new_game,"New Game"
menu_continue,"Continue"
menu_settings,"Settings"
menu_quit,"Quit"
menu_confirm_new_game,"Start a new game? Current progress will be lost."
menu_confirm_quit,"Are you sure you want to quit?"
menu_yes,"Yes"
menu_no,"No"

# Settings
settings_title,"Settings"
settings_language,"Language"
settings_audio,"Audio"
settings_accessibility,"Accessibility"
settings_display,"Display"
settings_master_volume,"Master Volume"
settings_sfx_volume,"SFX Volume"
settings_music_volume,"Music Volume"
settings_metronome,"Enable Metronome"
settings_metronome_volume,"Metronome Volume"
settings_visual_assist,"Visual Assist"
settings_reduced_motion,"Reduced Motion"
settings_color_palette,"Color Palette"
settings_palette_default,"Default"
settings_palette_unlocked,"Unlocked: "
settings_apply,"Apply"
settings_back,"Back"
settings_master_volume_label,"Master:"
settings_sfx_volume_label,"SFX:"
settings_music_volume_label,"Music:"
settings_metronome_label,"Metronome:"
settings_fullscreen_label,"Fullscreen"
settings_vsync_label,"VSync"
settings_visual_assist_label,"Visual Assist"
settings_reduced_motion_label,"Reduced Motion"
settings_language_label,"Language:"
settings_palette_label,"Color Palette:"
settings_close,"Close"
settings_on,"ON"
settings_off,"OFF"
lang_english,"English"
lang_spanish,"Spanish"

# Map
map_title,"Map"
map_level,"Level %d"
map_node_combat,"Combat"
map_node_shop,"Shop"
map_node_treasure,"Treasure"
map_node_boss,"Boss"
map_node_rest,"Rest"
map_current_location,"Current Location"
map_select_destination,"Select Destination"
map_bits,"Bits: %d"

# Combat
combat_player_turn,"Your Turn"
combat_enemy_turn,"Enemy Turn"
combat_victory,"Victory!"
combat_defeat,"Defeat..."
combat_action_attack,"Attack"
combat_action_technique,"Technique"
combat_action_item,"Item"
combat_action_defend,"Defend"
combat_action_flee,"Flee"
combat_select_target,"Select Target"
combat_select_technique,"Select Technique"
combat_select_item,"Select Item"
combat_brio_cost,"Brio Cost: %d"
combat_damage_dealt,"Dealt %d damage!"
combat_damage_taken,"Took %d damage!"
combat_healed,"Healed %d HP!"
combat_enemy_defeated,"%s defeated!"
combat_player_died,"You have fallen..."
combat_perfect_timing,"Perfect!"
combat_good_timing,"Good!"
combat_ok_timing,"OK"
combat_miss_timing,"Miss!"
combat_beat_indicator,"Beat"
combat_rhythm_hint,"Press on the beat!"
combat_brio_label,"Brio"
combat_vit_label,"VIT"

# Shop
shop_welcome,"Welcome to my shop!"
