keys,es
# Title Screen / Main Menu
title_game_name,"ISOBRÍO"
menu_new_game,"Nueva Partida"
menu_continue,"Continuar"
menu_settings,"Ajustes"
menu_quit,"Salir"
menu_confirm_new_game,"¿Iniciar una nueva partida? Se perderá el progreso actual."
menu_confirm_quit,"¿Estás seguro de que quieres salir?"
menu_yes,"Sí"
menu_no,"No"

# Settings
settings_title,"Ajustes"
settings_language,"Idioma"
settings_audio,"Audio"
settings_accessibility,"Accesibilidad"
settings_display,"Pantalla"
settings_master_volume,"Volumen General"
settings_sfx_volume,"Volumen SFX"
settings_music_volume,"Volumen Música"
settings_metronome,"Activar Metrónomo"
settings_metronome_volume,"Volumen Metrónomo"
settings_visual_assist,"Asistencia Visual"
settings_reduced_motion,"Movimiento Reducido"
settings_color_palette,"Paleta de Colores"
settings_palette_default,"Predeterminada"
settings_palette_unlocked,"Desbloqueadas: "
settings_apply,"Aplicar"
settings_back,"Volver"
settings_master_volume_label,"General:"
settings_sfx_volume_label,"SFX:"
settings_music_volume_label,"Música:"
settings_metronome_label,"Metrónomo:"
settings_fullscreen_label,"Pantalla Completa"
settings_vsync_label,"VSync"
settings_visual_assist_label,"Asistencia Visual"
settings_reduced_motion_label,"Movimiento Reducido"
settings_language_label,"Idioma:"
settings_palette_label,"Paleta de Colores:"
settings_close,"Cerrar"
settings_on,"SÍ"
settings_off,"NO"
lang_english,"Inglés"
lang_spanish,"Español"

# Map
map_title,"Mapa"
map_level,"Nivel %d"
map_node_combat,"Combate"
map_node_shop,"Tienda"
map_node_treasure,"Tesoro"
map_node_boss,"Jefe"
map_node_rest,"Descanso"
map_current_location,"Ubicación Actual"
map_select_destination,"Seleccionar Destino"
map_bits,"Bits: %d"

# Combat
combat_player_turn,"Tu Turno"
combat_enemy_turn,"Turno Enemigo"
combat_victory,"¡Victoria!"
combat_defeat,"Derrota..."
combat_action_attack,"Atacar"
combat_action_technique,"Técnica"
combat_action_item,"Objeto"
combat_action_defend,"Defender"
combat_action_flee,"Huir"
combat_select_target,"Seleccionar Objetivo"
combat_select_technique,"Seleccionar Técnica"
combat_select_item,"Seleccionar Objeto"
combat_brio_cost,"Coste de Brío: %d"
combat_damage_dealt,"¡Infligido %d de daño!"
combat_damage_taken,"¡Recibido %d de daño!"
combat_healed,"¡Curado %d PS!"
combat_enemy_defeated,"¡%s derrotado!"
combat_player_died,"Has caído..."
combat_perfect_timing,"¡Perfecto!"
